id,artist_id,name,album_type,label,popularity,release_date_precision,total_tracks,spotify_url,release_year,release_month,release_day
4Q7cRXio6mF2ImVUCcezPO,3TVXtAsR1Inumwj472S9r4,For All The Dogs Scary Hours Edition,album,OVO/Republic,73,day,29,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO,2023,11,17
1Khdy0BbHmXrL4C2SLTKGi,4LLpKhyESsyAXpc4laK94U,Watching Movies with the Sound Off (10th Anniversary),album,Rostrum Records,54,day,21,https://open.spotify.com/album/1Khdy0BbHmXrL4C2SLTKGi,2023,6,23
0ptlfJfwGTy0Yvrk14JK1I,3TVXtAsR1Inumwj472S9r4,If You're Reading This It's Too Late,album,Cash Money Records/Young Money Ent./Universal Rec.,76,day,17,https://open.spotify.com/album/0ptlfJfwGTy0Yvrk14JK1I,2015,2,12
2ZUFSbIkmFkGag000RWOpA,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same (Deluxe),album,Cash Money Records/Young Money Ent./Universal Rec.,74,day,16,https://open.spotify.com/album/2ZUFSbIkmFkGag000RWOpA,2013,1,1
1XslIirSxfAhhxRdn4Li9t,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same,album,Cash Money Records/Young Money Ent./Universal Rec.,72,day,13,https://open.spotify.com/album/1XslIirSxfAhhxRdn4Li9t,2013,1,1
6X1x82kppWZmDzlXXK3y3q,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),album,Cash Money Records/Young Money Ent./Universal Rec.,84,day,19,https://open.spotify.com/album/6X1x82kppWZmDzlXXK3y3q,2011,11,15
6agmeioaDOBupymziJihgB,3TVXtAsR1Inumwj472S9r4,Thank Me Later (Int'l Version),album,Cash Money Records/Young Money Ent./Universal Rec.,66,day,15,https://open.spotify.com/album/6agmeioaDOBupymziJihgB,2010,1,1
1LShhEEKRT5MNPcO7jtYHh,3TVXtAsR1Inumwj472S9r4,So Far Gone,album,Young Money/Cash Money Records,74,year,18,https://open.spotify.com/album/1LShhEEKRT5MNPcO7jtYHh,2009,1,1
78NIQe42qKXahAeZAb3w0h,3TVXtAsR1Inumwj472S9r4,No Face,single,OVO,73,day,1,https://open.spotify.com/album/78NIQe42qKXahAeZAb3w0h,2024,8,31
5oT8PMXGWiPlhcl930fkII,3TVXtAsR1Inumwj472S9r4,100 GIGS,single,OVO/Republic,78,day,3,https://open.spotify.com/album/5oT8PMXGWiPlhcl930fkII,2024,8,30
69eqA59bgh09wQ2MT1AlnL,3TVXtAsR1Inumwj472S9r4,Sideways,single,"Ultra Records, LLC",54,day,1,https://open.spotify.com/album/69eqA59bgh09wQ2MT1AlnL,2024,7,26
5H7ixXZfsNMGbIE5OBSpcb,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,Taylor Swift,93,day,31,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb,2024,4,19
1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,album,Taylor Swift,90,day,16,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt,2024,4,18
1o59UpKw81iHR0HPiSkJR0,06HL4z0CvFAxyc27GXpf02,1989 (Taylor's Version) [Deluxe],album,Taylor Swift,78,day,22,https://open.spotify.com/album/1o59UpKw81iHR0HPiSkJR0,2023,10,27
64LU4c1nfjz1t4VnGhagcg,06HL4z0CvFAxyc27GXpf02,1989 (Taylor's Version),album,Taylor Swift,87,day,21,https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,2023,10,26
5AEDGbliTTfjOB8TSm1sxt,06HL4z0CvFAxyc27GXpf02,Speak Now (Taylor's Version),album,Taylor Swift,85,day,22,https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,2023,7,7
1fnJ7k0bllNfL1kVdNVW1A,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),album,Taylor Swift,79,day,23,https://open.spotify.com/album/1fnJ7k0bllNfL1kVdNVW1A,2023,5,26
3lS1y25WAhcqJDATJK70Mq,06HL4z0CvFAxyc27GXpf02,Midnights (3am Edition),album,Taylor Swift,78,day,20,https://open.spotify.com/album/3lS1y25WAhcqJDATJK70Mq,2022,10,22
151w1FgRZfnKZA9FEcg9Z3,06HL4z0CvFAxyc27GXpf02,Midnights,album,Taylor Swift,86,day,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3,2022,10,21
6kZ42qRrzov54LcAk4onW9,06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),album,Taylor Swift,87,day,30,https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,2021,11,12
4hDok0OAJd57SGIT8xuWJH,06HL4z0CvFAxyc27GXpf02,Fearless (Taylor's Version),album,Taylor Swift,84,day,26,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,2021,4,9
6AORtDjduMM3bupSWzbTSG,06HL4z0CvFAxyc27GXpf02,evermore (deluxe version),album,TS/Republic,80,day,17,https://open.spotify.com/album/6AORtDjduMM3bupSWzbTSG,2021,1,7
2Xoteh7uEpea4TohMxjtaq,06HL4z0CvFAxyc27GXpf02,evermore,album,Taylor Swift,81,day,15,https://open.spotify.com/album/2Xoteh7uEpea4TohMxjtaq,2020,12,11
0PZ7lAru5FDFHuirTkWe9Z,06HL4z0CvFAxyc27GXpf02,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],album,Taylor Swift,68,day,34,https://open.spotify.com/album/0PZ7lAru5FDFHuirTkWe9Z,2020,11,25
1pzvBxYgT6OVwJLtHkrdQK,06HL4z0CvFAxyc27GXpf02,folklore (deluxe version),album,Taylor Swift,79,day,17,https://open.spotify.com/album/1pzvBxYgT6OVwJLtHkrdQK,2020,8,18
6DEjYFkNZh67HP7R9PSZvv,06HL4z0CvFAxyc27GXpf02,reputation,album,"Big Machine Records, LLC",89,day,15,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv,2017,11,10
1MPAXuTVL2Ej5x0JHiSPq8,06HL4z0CvFAxyc27GXpf02,reputation Stadium Tour Surprise Song Playlist,album,"Big Machine Records, LLC",73,day,46,https://open.spotify.com/album/1MPAXuTVL2Ej5x0JHiSPq8,2017,11,9
1yGbNOtRIgdIiGHOEBaZWf,06HL4z0CvFAxyc27GXpf02,1989 (Deluxe),album,"Big Machine Records, LLC",81,day,19,https://open.spotify.com/album/1yGbNOtRIgdIiGHOEBaZWf,2014,1,1
3RQQmkQEvNCY4prGKE6oc5,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,album,Rimas Entertainment LLC,92,day,23,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,2022,5,6
2d9BCZeAAhiZWPpbX9aPCW,4q3ewBCX7sLwd24euuV69X,EL ÚLTIMO TOUR DEL MUNDO,album,Rimas Entertainment LLC,83,day,16,https://open.spotify.com/album/2d9BCZeAAhiZWPpbX9aPCW,2020,11,27
4gvQO5mEuhbMSrLIuwXkmz,4q3ewBCX7sLwd24euuV69X,LAS QUE NO IBAN A SALIR,album,Rimas Entertainment LLC,69,day,10,https://open.spotify.com/album/4gvQO5mEuhbMSrLIuwXkmz,2020,5,10
5lJqux7orBlA1QzyiBGti1,4q3ewBCX7sLwd24euuV69X,YHLQMDLG,album,Rimas Entertainment LLC,86,day,20,https://open.spotify.com/album/5lJqux7orBlA1QzyiBGti1,2020,2,29
5LNX3esjvdBJ6hN4XDvCJn,4LLpKhyESsyAXpc4laK94U,"I Love Life, Thank You",album,Rostrum Records,71,day,13,https://open.spotify.com/album/5LNX3esjvdBJ6hN4XDvCJn,2022,7,22
7CjJb2mikwAWA1V6kewFBF,4q3ewBCX7sLwd24euuV69X,X 100PRE,album,Rimas Entertainment LLC,82,day,15,https://open.spotify.com/album/7CjJb2mikwAWA1V6kewFBF,2018,12,23
2HQzboxa5GyWpk2aiPP5i6,4q3ewBCX7sLwd24euuV69X,Una Velita,single,Rimas Entertainment LLC.,72,day,1,https://open.spotify.com/album/2HQzboxa5GyWpk2aiPP5i6,2024,9,19
5SKnXCvB4fcGSZu32o3LRY,4LLpKhyESsyAXpc4laK94U,Faces,album,Warner Records,67,day,25,https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY,2021,10,15
72GhGik5fsSeFkgpjsllVj,4q3ewBCX7sLwd24euuV69X,UN PREVIEW,single,Rimas Entertainment LLC,61,day,1,https://open.spotify.com/album/72GhGik5fsSeFkgpjsllVj,2023,9,25
1YZ3k65Mqw3G8FzYlW1mmp,4LLpKhyESsyAXpc4laK94U,Circles (Deluxe),album,Warner Records,62,day,14,https://open.spotify.com/album/1YZ3k65Mqw3G8FzYlW1mmp,2020,3,19
5sY6UIQ32GqwMLAfSNEaXb,4LLpKhyESsyAXpc4laK94U,Circles,album,Warner Records,75,day,12,https://open.spotify.com/album/5sY6UIQ32GqwMLAfSNEaXb,2020,1,17
5fy0X0JmZRZnVa2UEicIOl,06HL4z0CvFAxyc27GXpf02,1989,album,"Big Machine Records, LLC",73,day,13,https://open.spotify.com/album/5fy0X0JmZRZnVa2UEicIOl,2014,1,1
4FftCsAcXXD1nFO9RFUNFO,4q3ewBCX7sLwd24euuV69X,nadie sabe lo que va a pasar mañana,album,Rimas Entertainment LLC,88,day,22,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO,2023,10,13
5wtE5aLX5r7jOosmPhJhhk,4LLpKhyESsyAXpc4laK94U,Swimming,album,Warner Records,79,day,13,https://open.spotify.com/album/5wtE5aLX5r7jOosmPhJhhk,2018,8,3
