id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
44wXefe8WB9Fd6xwtmAwbR,0.401,0.953,4,-4.276,1,0.0752,1.83E-5,2.56E-5,0.149,0.555,174.217,231480,4
0M5xRyxGpFFDfzN2x0wdpH,0.473,0.741,2,-5.299,1,0.0305,7.64E-5,0.00114,0.565,0.487,84.974,248267,4
3yIUusX4NApzRSAkxZFrJg,0.556,0.91,6,-3.92,0,0.0387,1.5E-4,0.356,0.0984,0.578,126.252,213560,4
56ucsSaTrjiQaokbbDASOR,0.441,0.981,6,-3.545,0,0.0714,4.39E-5,4.38E-4,0.316,0.389,128.234,150653,4
05TcC5ZN9rp8Glx8A9C2Nd,0.262,0.885,0,-5.288,1,0.0831,3.59E-4,0.00426,0.254,0.178,166.645,135573,4
4dVbhS6OiYvFikshyaQaCN,0.398,0.927,9,-4.212,1,0.0567,6.2E-5,1.77E-4,0.0575,0.311,77.106,260027,4
48PrL49eJ5P15yTxjK0oW6,0.308,0.873,2,-6.47,1,0.067,0.0053,2.06E-5,0.107,0.62,170.42,146653,4
4JWRyetq4ALHAXm9ByOOEg,0.462,0.967,7,-4.665,1,0.0553,3.95E-5,0.726,0.377,0.61,144.098,156293,3
2ceA7CWWx6yIHdzppN8nLF,0.267,0.316,2,-8.272,1,0.0372,0.00825,0.151,0.126,0.227,76.066,289347,4
5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0,0.0367,5.99E-5,3.08E-4,0.0805,0.364,158.066,250547,4
7pS2OVdIWviLpz5GOtJLzz,0.325,0.571,4,-10.701,1,0.0259,0.74,0.557,0.0802,0.352,108.651,303813,4
44yHNmayqe7dI9fHjAYPCl,0.324,0.835,2,-6.537,1,0.0501,9.65E-4,0.118,0.071,0.472,139.256,340200,3
4ZnD7qmpP3NWA1ctUzeUIw,0.263,0.99,6,-4.179,0,0.142,8.35E-6,0.8,0.384,0.154,158.281,204027,4
2wO8aOvN1ogLy1N8XT1WJE,0.261,0.964,9,-6.654,1,0.0638,0.00141,2.87E-5,0.183,0.326,162.902,233360,3
4LGKzrdEeBwR9UHCGlDT0W,0.306,0.985,0,-6.687,1,0.0822,0.00254,0.626,0.13,0.255,133.963,232533,4
6pb5BBnIM5IM7R1cqag6rE,0.579,0.708,0,-10.419,1,0.0374,0.442,0.0,0.11,0.846,130.97,132840,4
5XUpAb2zC8G404RPkwb09H,0.226,0.978,7,-7.27,1,0.107,0.00424,1.47E-6,0.109,0.137,131.586,245667,4
2styBKRBhlZwPl5geag8KJ,0.185,0.969,8,-7.413,1,0.0612,1.41E-4,0.0321,0.367,0.437,191.822,241227,4
5tULmRxZrbnzh32H3ZIghu,0.39,0.941,9,-7.151,1,0.0783,8.93E-4,2.82E-5,0.0739,0.0815,113.389,269267,3
5FafTKnxl219ZUWFzaufRQ,0.235,0.993,0,-7.623,1,0.0779,0.00674,0.355,0.312,0.252,174.708,165400,4
1Oy0vCHc4rUCOphROBbPSd,0.436,0.919,0,-6.82,1,0.0407,9.51E-5,5.24E-6,0.0783,0.144,125.216,181800,4
6CbeOOrDFQuY1tXYscKqZQ,0.366,0.542,4,-9.655,1,0.0344,0.0323,0.00262,0.237,0.513,124.631,209240,4
7rKm5BfLqxYko007wiamnm,0.322,0.868,3,-8.335,1,0.0557,3.55E-5,0.899,0.209,0.183,101.545,253493,4
7lMGc58V3S7lD2SLNRdOKx,0.178,0.967,3,-6.9,1,0.077,0.001,2.97E-4,0.365,0.47,190.586,133507,4
5EwyzrFLXlcnPenrPQ9DlO,0.192,0.977,7,-9.027,1,0.0932,0.0016,0.867,0.27,0.108,120.652,349893,4
4GPdQsRCRCidGgmCsK9I4a,0.2,0.91,4,-5.719,0,0.089,3.69E-4,0.0412,0.548,0.135,148.569,604227,4
4wJ2mw9b5hTZTKTtbLKDJZ,0.506,0.919,4,-6.463,1,0.0436,0.00168,0.0779,0.121,0.232,105.0,293960,4
1x0NfY1A4q8eKN3k4X8sfE,0.263,0.977,9,-2.913,1,0.0857,5.16E-6,0.0,0.148,0.305,149.982,219400,4
6mgzUNNr3NY6NbTzNzwYq9,0.274,0.956,4,-4.978,1,0.0814,1.37E-5,1.33E-6,0.117,0.339,150.207,258648,4
4ca03o6ZZsFA0LB620kpKI,0.651,0.789,8,-8.508,1,0.0674,0.013,0.142,0.366,0.787,104.064,218703,4
1BWk8GQepefrr6qfklRxQo,0.296,0.827,0,-6.492,1,0.0728,0.0696,3.82E-5,0.309,0.171,139.801,99653,4
5cRTN0Igfu7592TLCVRSr6,0.857,0.658,8,-4.481,1,0.194,0.0326,0.00175,0.0642,0.539,98.992,255707,4
4N3p4qWr0N3E7Kp2xSyysL,0.551,0.423,4,-6.013,0,0.0718,0.526,1.81E-6,0.608,0.127,152.249,347400,3
123hHz2StvpbgdHEtVrI1d,0.435,0.92,4,-1.357,0,0.2,0.235,3.52E-4,0.552,0.451,188.9,245960,4
7mshbeWevUqabRJ8T9DvBd,0.431,0.225,1,-19.81,0,0.0998,0.737,2.09E-6,0.142,0.827,89.5,53773,4
